,Location,Latitude,Longitude
143,Tokyo-TMU,35.62003705,139.3828668431994
144,Toronto-CNTower,43.6425637,-79.38708718320467
145,Toronto-Scarborough,43.7729744,-79.2576479
146,Toronto-West,43.6993087,-79.59780407460434
147,Trollhaugen,63.0378758,7.7287855
148,Tsukuba-NIES-West,36.049773599999995,140.11851636912203
149,Tsukuba-NIES,36.049773599999995,140.11851636912203
150,Tsukuba,36.0833265,140.077279
151,TubaCityAZ,36.123307,-111.24218755955015
152,TucsonAZ,32.2228765,-110.974847
153,TurlockCA,37.4946568,-120.8465941
154,TylerTX,32.3512601,-95.3010624
155,Ulaanbaatar,47.9184676,106.9177016
156,Ulsan,35.5391697,129.3119136
157,Vientiane,17.9640988,102.6133707
158,VirginiaBeachVA-CBBT,36.91822755,-76.13010235
159,WacoTX,31.5491899,-97.1474628
160,Wakkerstroom,-27.353611,30.145
161,WallopsIslandVA,37.88387115,-75.45616657057555
162,Warsaw-UW,52.2376023,21.0175167
163,WashingtonDC,38.8950368,-77.0365427
164,WestportCT,41.1414855,-73.3578955
165,WhittierCA,33.9749136,-118.0338664
166,Windsor-West,42.279681249999996,-83.03361354722105
167,WrightwoodCA,34.3608023,-117.6340458
168,Yokosuka,35.2814779,139.6719597
169,Yongin,37.2405741,127.1785572
